year,month,fiscalYear,sconYear,waterConsumption,waterMultipliersCount,waterMultipliersRevenue,waterRevenueBase,waterRevenueConsumption,waterRevenueLoan,sewerConsumption,sewerMultipliersCount,sewerMultipliersRevenue,sewerRevenueBase,sewerRevenueConsumption,sewerRevenueLoan
2017,7,2017,2017,7652400,992.3,1005.41,29459,17003,9367,3767662,949.31,943.72,22602,8703,52269
2017,8,2017,2017,7185250,996.3,1008.88,29560,15578,9387,3774543,952.81,946.29,22663,8719,52411
2017,9,2017,2017,6718100,1000.3,1012.34,29662,14153,9408,3781424,956.31,948.85,22725,8735,52553
2017,10,2017,2017,4292900,991.3,1009.15,29568,6931,9322,3756458,948.31,938.99,22489,8677,52008
2017,11,2017,2017,4768100,979.1,996.67,29203,8430,9233,3713995,937.64,929.65,22265,8579,51491
2018,0,2017,2017,3519300,973.3,1000.44,29313,4718,9197,3721194,930.31,924.28,22137,8596,51195
2018,1,2017,2017,4099600,976.5,999.28,29279,6440,9240,3738701,931.98,928.86,22246,8636,51448
2018,2,2017,2017,4388800,978.5,996.48,29197,7295,9243,3740952,932.98,929.1,22252,8642,51465
2018,3,2017,2018,3231700,975.5,1004.18,29423,3842,9239,3845354,930.98,928.75,22244,8883,51442
2018,4,2017,2018,4443700,976.1,996.74,29205,7475,9253,3846779,934.64,932.69,22338,8886,51659
2018,5,2017,2018,3664800,982.3,1009.62,29582,5101,9299,3870770,937.31,933.51,22358,8941,51705
2018,6,2017,2018,5978500,989.5,1005.06,29448,11999,9363,3904134,942.98,940.15,22516,9019,52013
2018,7,2018,2018,6616400,997.9,991.4,30436,11910,9418,3927069,952.64,944.99,25184,9621,42348
2018,8,2018,2018,7096600,992.5,989,30362,12774,9396,3945665,944.65,941.83,25100,9667,42206
2018,9,2018,2018,4692800,1002.3,1000.77,30724,8447,9507,3962187,954.98,954.13,25428,9707,42757
2018,10,2018,2018,4167200,995.3,994.26,30524,7501,9445,3954138,947.98,947.62,25254,9688,42466
2018,11,2018,2018,4560400,994.3,993.07,30487,8209,9434,3949820,946.98,946.43,25222,9677,42412
2019,0,2018,2018,4140700,1000.3,996.93,30606,7453,9471,3962685,953.98,951.29,25352,9709,42630
2019,1,2018,2018,4062800,1001.5,996.1,30580,7313,9463,3977248,953.65,948.93,25289,9744,42524
2019,2,2018,2018,3910500,992.5,990.53,30409,7039,9410,3957244,944.65,943.36,25141,9695,42275
2019,3,2018,2019,3765000,999.5,999.03,30670,6777,9491,3931902,952.65,952.86,25394,9633,42700
2019,4,2018,2019,4144200,996.7,996.23,30584,7460,9464,3938097,950.65,950.86,25340,9648,42611
2019,5,2018,2019,4948000,1012.7,1009.57,30994,8906,9591,3988999,965.65,963.2,25669,9773,43163
2019,6,2018,2019,5861800,1015.5,1013.76,31122,10551,9631,4017048,965.65,964.64,25708,9842,43204
2019,7,2019,2019,5691511,1018.5,1011.97,29853,10245,9917,4015661,969.65,963.8,25926,10441,21296
2019,8,2019,2019,6627900,1023.3,1022.6,30167,11930,10021,4059715,976.98,975.97,26253,10555,21564
2019,9,2019,2019,4639300,1023.3,1022.24,30156,8351,10018,4064011,976.98,976.61,26271,10566,21578
2019,10,2019,2019,4354800,1023.5,1022.53,30165,7839,10021,4076573,976.65,975.36,26237,10599,21551
2019,11,2019,2019,3932100,1015.9,1014.32,29922,7078,9940,4048519,970.32,969.37,26076,10526,21419
2020,0,2019,2019,4293300,1012.5,1011.42,29837,7728,9912,4048073,966.65,966.05,25987,10525,21345
2020,1,2019,2019,4419200,1018.5,1017.5,30016,7955,9971,4062652,971.65,971.33,26129,10563,21462
2020,2,2019,2019,4085300,1018.5,1016.6,29991,7354,9963,4062107,972.65,971.47,26133,10561,21465
2020,3,2019,2020,3800700,1019.5,1019.5,30075,6841,9991,3997442,974.65,975.33,26236,10393,21550
2020,4,2019,2020,4538900,1025.5,1023.8,30202,8170,10033,4028449,980.65,979.63,26352,10474,21645
2020,5,2019,2020,4964500,1028.5,1026.8,30290,8936,10062,4043050,983.65,982.6,26432,10512,21710
2020,6,2019,2020,5476300,1037.3,1035.3,30541,9857,10146,4072399,991.98,990.67,26649,10588,21888
2020,7,2020,2020,6105800,1040.3,1037.3,30600,10990,7417,4089265,994.98,992.67,26703,10632,19396
2020,8,2020,2020,7470600,1039.3,1036.3,30572,13447,7410,4105652,993.98,991.71,26677,10675,19377
2020,9,2020,2020,6010700,1043.3,1042,30740,10819,7451,4126522,997.98,997.4,26830,10729,19488
2020,10,2020,2020,4337600,1044.3,1043.5,30783,7808,7461,4125357,998.98,998.87,26869,10726,19517
2020,11,2020,2020,4167300,1045.3,1045.3,30836,7501,7474,4128596,999.98,1000.67,26918,10734,19552
2021,0,2020,2020,4486800,1045.3,1042.9,30766,8076,7457,4124176,1000.98,999.3,26881,10723,19525
